,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,36020.0,703983887338,1,756422673025.0,26152825477,37904.0,35579.0,-1422.4312630558998,-3.79897,-29728659558.268555,-4.05181,19544181.0,21000000.0,21000000.0,69045.0,-47.93029,2021-11-10T14:24:11.849Z,67.81,52918.64328,2013-07-06T00:00:00.000Z,2023-11-16T21:00:29.206Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1959.93,235710415645,2,235710415645.0,24976688868,2079.65,1942.71,-80.67248857043933,-3.95336,-10497296188.680725,-4.26359,120254695.9993,120254695.9993,,4878.26,-59.81861,2021-11-10T14:24:19.604Z,0.432979,452613.35066,2015-10-20T00:00:00.000Z,2023-11-16T21:00:36.810Z
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,87470658949,3,87470658949.0,41273773590,1.003,0.99398,0.00021059,0.02106,85827822.0,0.09822,87434791408.8342,87434791408.8342,,1.32,-24.43791,2018-07-24T00:00:00.000Z,0.572521,74.6239,2015-03-02T00:00:00.000Z,2023-11-16T20:55:00.336Z
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,241.62,37175421491,4,37175421491.0,1007327100,255.59,240.08,-10.063799952395016,-3.99851,-1649556977.4594421,-4.2487,153856150.0,153856150.0,200000000.0,686.31,-64.75375,2021-05-10T07:24:17.097Z,0.0398177,607412.08262,2017-10-19T00:00:00.000Z,2023-11-16T21:00:35.401Z
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.617087,33151226659,5,61705821070.0,1473341601,0.65206,0.606063,-0.02667353673048578,-4.1434,-1385765373.175682,-4.01241,53718306475.0,99988221902.0,100000000000.0,3.4,-81.83388,2018-01-07T00:00:00.000Z,0.00268621,22882.83833,2014-05-22T00:00:00.000Z,2023-11-16T21:00:28.266Z
5,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,61.49,26100611431,6,34746388296.0,3729598632,68.0,59.58,-4.737389850486672,-7.15349,-1849270007.9034958,-6.61638,422639633.22562,562638191.238482,,259.96,-76.23383,2021-11-06T21:54:35.825Z,0.500801,12236.7011,2020-05-11T19:35:23.449Z,2023-11-16T21:00:37.658Z
6,usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999385,24141192822,7,24141214841.0,12759248429,1.003,0.996904,6.169e-05,0.00617,107001654.0,0.44521,24120312670.3228,24120334670.3228,,1.17,-14.67459,2019-05-08T00:40:28.300Z,0.877647,14.0113,2023-03-11T08:02:13.981Z,2023-11-16T21:00:33.393Z
7,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1961.25,17500535447,8,17500535447.0,16662359,2072.61,1942.76,-86.57642621574632,-4.22773,-835269250.6560287,-4.5554,8925756.81900735,8925756.81900735,8925756.81900735,4829.57,-59.31514,2021-11-10T14:40:47.256Z,482.9,306.89988,2020-12-22T04:08:21.854Z,2023-11-16T21:00:18.764Z
8,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.370282,12943221731,9,16662824768.0,710213368,0.407275,0.360777,-0.004465847209022323,-1.19169,-201164575.21156883,-1.53042,34954756232.0105,45000000000.0,45000000000.0,3.09,-88.02707,2021-09-02T06:00:10.474Z,0.01925275,1819.69254,2020-03-13T02:22:55.044Z,2023-11-16T21:00:32.545Z
9,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.079888,11335416867,10,11335407278.0,1900674790,0.082678,0.074809,0.0048446,6.4557,658123244.0,6.16376,141857756383.705,141857636383.705,,0.731578,-89.08251,2021-05-08T05:08:23.458Z,8.69e-05,91806.22064,2015-05-06T00:00:00.000Z,2023-11-16T21:00:36.885Z
