,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,36174.0,704872613167,1,757374692417.0,26547887073.0,37904.0,35579.0,-1628.7288217082678,-4.30845,-32519961652.24878,-4.41013,19544256.0,21000000.0,21000000.0,69045.0,-47.75763,2021-11-10T14:24:11.849Z,67.81,53094.45312,2013-07-06T00:00:00.000Z,2023-11-16T23:30:59.291Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1960.21,235397551577,2,235397551577.0,24580191429.0,2079.65,1942.71,-93.64794719895963,-4.5596,-10816524814.955475,-4.39314,120254695.9993,120254695.9993,,4878.26,-59.87176,2021-11-10T14:24:19.604Z,0.432979,452014.41883,2015-10-20T00:00:00.000Z,2023-11-16T23:30:59.375Z
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,87459333218,3,87459333218.0,49435001250.0,1.003,0.99398,0.00040304,0.04027,178513960.0,0.20453,87434791408.8342,87434791408.8342,,1.32,-24.45559,2018-07-24T00:00:00.000Z,0.572521,74.58303,2015-03-02T00:00:00.000Z,2023-11-16T23:30:01.094Z
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,242.01,37164009001,4,37164009001.0,1012359244.0,255.59,240.08,-10.649887418624616,-4.21511,-1702683111.437294,-4.38083,153856150.0,153856150.0,200000000.0,686.31,-64.81001,2021-05-10T07:24:17.097Z,0.0398177,606442.37309,2017-10-19T00:00:00.000Z,2023-11-16T23:30:58.307Z
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.610232,32721604502,5,60906146649.0,1487592021.0,0.65206,0.606063,-0.03852543376838791,-5.93834,-2044362807.2819366,-5.88036,53718306475.0,99988221902.0,100000000000.0,3.4,-82.06715,2018-01-07T00:00:00.000Z,0.00268621,22587.7159,2014-05-22T00:00:00.000Z,2023-11-16T23:30:52.902Z
5,usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.001,24197137142,6,24193699500.0,12712455689.0,1.003,0.996904,0.00014282,0.01427,77403239.0,0.32091,24191813602.8284,24188376717.791,,1.17,-14.72656,2019-05-08T00:40:28.300Z,0.877647,13.94186,2023-03-11T08:02:13.981Z,2023-11-16T23:30:59.861Z
6,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,56.89,24055727743,7,32024144458.0,3817910921.0,68.0,56.89,-8.250233889634295,-12.6646,-3487487300.944252,-12.66187,422639517.083517,562638099.896065,,259.96,-78.13332,2021-11-06T21:54:35.825Z,0.500801,11250.70221,2020-05-11T19:35:23.449Z,2023-11-16T23:30:55.618Z
7,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1957.72,17457720569,8,17457720569.0,12538041.0,2072.61,1942.76,-96.01516698172645,-4.67515,-874822450.4597244,-4.77196,8933445.35241422,8933445.35241422,8933445.35241422,4829.57,-59.46875,2021-11-10T14:40:47.256Z,482.9,305.36355,2020-12-22T04:08:21.854Z,2023-11-16T23:31:00.404Z
8,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.365739,12804777152,9,16484594200.0,754323183.0,0.407275,0.360777,-0.012588453606790064,-3.3274,-403827773.4412079,-3.05731,34954756232.0105,45000000000.0,45000000000.0,3.09,-88.13107,2021-09-02T06:00:10.474Z,0.01925275,1803.019,2020-03-13T02:22:55.044Z,2023-11-16T23:31:00.905Z
9,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.077571,11025093536,10,11025070998.0,1989991807.0,0.082678,0.075998,0.00140798,1.84864,262273080.0,2.43684,141859056383.705,141858766383.705,,0.731578,-89.36972,2021-05-08T05:08:23.458Z,8.69e-05,89388.42675,2015-05-06T00:00:00.000Z,2023-11-16T23:31:01.725Z
